Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16124225_2	SRR16124225_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36093558.0	0.0	99-150	48.0	77.09953151924381	144.83579418798223	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124226_1	SRR16124226_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33691363.0	0.0	97-150	51.0	46.95535773242861	144.80630421511887	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR16124226_2	SRR16124226_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33691363.0	0.0	99-150	51.0	48.17914658940186	144.51119778086746	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR16124229_1	SRR16124229_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34606890.0	0.0	97-150	48.0	61.83124451187514	144.61502648750005	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124229_2	SRR16124229_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34606890.0	0.0	99-150	48.0	62.261967262105735	144.49137723730738	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124231_1	SRR16124231_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33190369.0	0.0	97-150	47.0	48.546574578485114	143.82308120768408	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR16124231_2	SRR16124231_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33190369.0	0.0	99-150	47.0	49.03829603764351	143.81501278277443	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
SRR16124234_1	SRR16124234_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34989648.0	0.0	97-150	49.0	67.8976355121048	145.67888079354213	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124234_2	SRR16124234_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34989648.0	0.0	99-150	49.0	68.68855323832389	145.48781891146777	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124263_1	SRR16124263_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35268382.0	0.0	98-150	50.0	81.08324103713284	142.66604518460755	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124263_2	SRR16124263_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35268382.0	0.0	99-150	50.0	81.5961880996751	142.37521035129993	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
